Sample Number,Condition,Timestamp
PC 0093/2025,30-45ul,2026-08-11 10:38:02
PC 0094/2025,40ul,2026-08-11 10:38:42
PC 0095/2025,15-25ul',2026-08-11 10:39:31
PC 0096/2025,<10ul,2026-08-11 10:40:02
PC 0097/2025,>45ul,2026-08-11 10:40:45
PC 0098/2025,25ul,2026-08-11 10:41:14
PC 0099/2025,25ul,2026-08-11 10:41:52
PC 0100/2025,<15ul,2026-08-11 10:42:19
PC 0101/2025,25ul,2026-08-11 10:43:21
PC 0102/2025,>30,2026-08-11 10:43:41
PC 0103/2025,>60,2026-08-11 10:44:34
PC 0104/2025,25-30ul,2026-08-11 10:45:04
PC 0105/2025,<10ul,2026-08-11 10:45:31
PC 0106/2025,45ul,2026-08-11 10:46:28
PC 0107/2025,<15ul,2026-08-11 10:47:02
PC 0108/2025,35ul,2026-08-11 10:47:35
PC 0109/2025,55ul,2026-08-11 10:48:15
PC 0110/2025,30ul,2026-08-11 10:48:45
PC 0111/2025,50ul,2026-08-11 10:49:22
PC 0112/2025,35ul,2026-08-11 10:49:52
PC 0113/2025,60ul,2026-08-11 10:50:23
PC 0114/2025,50ul,2026-08-11 10:50:45
PC 0115/2025,30ul,2026-08-11 10:51:13
PC 0116/2025,<30ul,2026-08-11 10:51:41
PC 0117/2025,<15ul[D[D[D,2026-08-11 10:52:30
PC 0118/2025,<10ul,2026-08-11 10:52:54
PC 0119/2025,30ul,2026-08-11 10:53:40
PC 0120/2025,30ul,2026-08-11 10:54:04
PC 0120/2025,<15ul,2026-08-11 10:54:25
PC 0121/2025,<15ul',2026-08-11 10:55:04
PC 0122/2025,25ul,2026-08-11 10:55:18
PC 0123/2025,40,2026-08-11 10:55:44
PC 0123/2025,60ul,2026-08-11 10:56:17
PC 0124/2025,100ul,2026-08-11 10:56:45
PC 0125/2025,100ul,2026-08-11 10:57:14
PC 0126/2025,80ul,2026-08-11 10:57:30
PC 0127/2025,35ul,2026-08-11 10:58:07
PC 0128/2025,30ul,2026-08-11 10:58:45
PC 0129/2025,25ul,2026-08-11 10:59:06
PC 0130/2025,40ul,2026-08-11 10:59:57
PC 0130/2025,60ul,2026-08-11 11:00:11
PC 0132/2025,100ul,2026-08-11 11:00:29
PC 0133/2025,35ul,2026-08-11 11:01:05
PC 0134/2025,30ul,2026-08-11 11:01:40
PC 0135/2025,35ul,2026-08-11 11:02:14
PC 0136/2025,50ul,2026-08-11 11:02:36
PC 0137/2025,35ul,2026-08-11 11:02:53
PC 0138/2025,25ul,2026-08-11 11:03:14
PC 0139/2025,40ul,2026-08-11 11:03:28
PC 0140/2025,25ul,2026-08-11 11:03:53
PC 0141/2025,35ul,2026-08-11 11:04:09
